xterm,Zutty,Kitty,Alacritty,urxvt,st,"gnome-terminal"
8.14,5.50,9.80,11.60,19.48,22.39,28.84
2.77,10.58,8.30,23.60,19.37,20.40,28.45
2.57,7.32,9.02,25.18,19.31,20.54,27.72
2.84,6.34,9.08,18.18,18.63,20.06,27.40
2.88,6.22,9.05,17.49,19.61,19.89,28.16
2.57,6.54,9.11,16.80,18.79,20.13,28.08
2.58,6.79,8.63,14.37,18.87,19.90,28.10
2.74,6.71,8.96,11.61,20.18,20.20,28.03
2.60,6.43,8.93,25.57,20.17,19.83,28.11
2.77,6.94,8.50,23.53,20.12,20.89,27.83
2.70,7.12,9.20,19.95,19.74,20.32,27.96
2.80,6.05,7.92,16.09,19.73,20.63,28.02
2.63,6.44,9.16,15.60,19.04,20.42,27.83
2.79,7.08,9.11,15.24,18.80,20.14,27.54
2.56,6.47,8.95,15.27,18.79,20.51,27.53
2.77,6.15,9.03,12.21,19.38,20.16,28.00
2.83,6.07,9.12,11.26,18.93,20.49,27.85
2.69,6.72,9.00,24.83,18.76,20.21,28.62
2.89,6.15,8.79,24.26,19.59,20.02,27.76
2.68,6.39,9.04,23.48,19.02,20.53,28.01
2.54,6.88,8.50,21.13,18.85,20.52,27.54
2.56,5.96,8.99,20.10,19.53,20.18,27.66
2.72,6.27,9.10,19.19,19.57,20.26,27.80
2.81,6.49,8.39,16.07,18.88,20.35,28.25
1.64,6.28,8.66,15.87,19.48,21.08,28.07
2.69,6.33,8.41,15.24,19.42,20.05,27.09
2.74,6.78,9.17,14.36,19.34,20.15,28.50
2.64,6.20,8.99,13.72,19.99,19.96,28.08
2.78,6.38,9.11,10.11,20.13,20.20,27.95
2.59,6.63,9.03,8.56,19.87,19.88,28.00
2.88,6.08,8.94,24.01,19.04,19.92,28.11
2.79,6.32,8.94,23.44,19.20,20.39,28.22
2.76,7.23,8.88,20.72,19.34,20.03,28.30
2.75,7.01,9.10,19.23,18.91,19.87,27.93
2.67,6.07,9.09,18.69,19.29,21.09,28.06
2.82,6.59,8.97,18.37,19.85,20.85,28.39
2.56,6.64,8.97,17.66,19.26,20.78,28.39
2.65,6.55,9.07,17.26,19.06,20.42,28.57
2.76,6.04,9.08,16.26,19.35,20.03,28.36
2.66,6.65,8.89,15.46,20.30,20.11,27.73
2.93,5.98,9.03,15.35,19.45,20.08,27.74
2.59,6.18,9.11,14.30,19.44,20.17,28.34
2.99,6.27,9.07,13.52,19.89,20.17,27.66
2.62,6.87,8.92,10.04,19.08,19.89,27.53
2.84,6.62,9.21,23.20,19.04,20.38,27.58
2.87,6.18,8.26,22.03,19.45,20.67,27.98
2.98,6.29,8.74,21.25,18.71,19.98,27.77
3.48,6.87,8.93,20.00,19.44,20.93,27.44
2.71,6.70,8.45,18.83,19.50,20.29,27.93
2.63,7.02,9.04,18.27,20.10,20.83,27.97
2.67,6.18,8.98,17.55,20.04,20.44,27.91
2.82,6.08,8.81,16.18,18.96,20.45,28.80
2.71,6.34,8.98,14.12,19.77,20.53,28.23
2.72,6.53,9.02,13.03,18.61,19.96,27.50
2.72,6.17,8.86,13.30,18.79,20.03,27.58
2.71,6.12,9.04,9.78,19.02,20.29,28.70
2.96,7.15,8.94,23.50,19.83,20.01,27.97
2.67,6.42,8.24,22.50,20.03,20.11,29.81
2.77,6.24,8.31,19.46,19.30,20.66,27.86
2.83,6.94,8.77,16.34,18.99,20.83,27.41
2.92,6.24,8.96,15.90,18.81,20.57,28.09
2.59,6.33,8.93,14.62,19.55,20.19,28.28
1.94,6.55,9.06,11.08,19.49,20.37,28.23
1.89,6.46,9.20,10.30,19.27,20.13,27.93
1.86,6.46,8.33,24.61,20.18,20.19,27.91
1.82,6.09,8.94,24.46,19.59,20.55,27.95
1.86,6.42,9.08,23.54,19.47,20.14,27.95
1.99,6.31,9.08,21.13,19.63,19.90,27.88
1.74,6.22,8.84,18.41,18.87,20.66,27.61
1.71,6.07,9.02,17.67,19.40,19.84,27.71
2.14,6.78,9.19,17.09,20.00,20.11,27.57
1.93,5.95,8.95,16.97,19.72,20.32,28.55
1.64,6.44,9.09,12.67,20.08,20.79,27.90
1.75,6.24,9.01,10.44,19.51,21.00,27.80
1.69,6.43,8.89,24.26,19.19,20.18,27.64
1.77,6.71,9.00,21.19,19.72,20.27,27.55
1.70,6.34,9.00,19.19,18.92,20.60,28.58
1.69,6.15,9.06,15.25,18.93,20.43,28.45
1.98,7.15,8.95,14.81,18.83,20.09,27.24
1.91,6.28,8.93,14.16,18.92,19.81,27.75
1.72,6.45,9.00,10.93,19.03,20.25,27.53
1.91,7.02,8.97,10.83,18.92,19.81,28.25
1.93,7.15,8.94,10.13,19.06,20.96,28.35
1.89,6.62,8.99,22.44,19.06,21.04,28.06
1.75,6.08,8.37,22.24,19.78,20.69,27.42
1.77,6.51,8.92,19.11,19.63,20.24,28.12
1.95,6.88,8.98,15.48,19.55,19.80,27.75
1.97,6.71,8.96,12.01,20.22,19.97,27.47
2.05,7.28,9.12,11.61,19.58,20.01,27.71
1.81,6.93,9.01,24.69,19.54,20.45,28.20
1.76,6.25,8.88,22.45,19.45,20.16,27.49
1.70,6.65,9.02,22.20,19.65,20.16,27.96
1.74,6.28,9.05,19.65,18.64,20.96,27.98
1.86,6.22,8.75,16.80,18.90,21.09,27.63
1.04,7.08,9.14,15.17,19.32,20.80,27.39
1.99,6.47,9.10,12.85,19.02,20.55,27.47
1.82,6.33,8.96,12.27,18.80,20.12,27.90
1.73,6.99,9.04,10.70,20.26,19.93,27.84
1.74,7.20,8.92,10.27,19.35,20.17,28.09
1.73,6.75,8.77,23.82,19.36,19.88,28.10
1.72,6.51,9.00,21.45,20.13,19.82,28.14
1.68,7.23,9.07,17.13,18.68,20.03,27.81
1.71,6.01,8.80,16.68,19.88,20.00,28.33
1.69,6.35,9.03,16.36,19.42,20.09,28.15
1.96,6.26,8.36,13.00,19.68,20.43,27.62
1.74,6.27,8.87,12.18,19.95,20.16,27.80
1.78,6.33,8.90,10.09,19.83,21.12,28.35
2.03,6.82,8.35,9.33,20.11,20.53,27.82
1.86,6.89,8.92,25.04,23.21,20.14,27.91
1.87,6.89,8.92,21.41,19.71,20.21,28.15
1.90,7.16,9.13,20.59,18.90,20.61,28.46
1.67,5.97,9.01,16.60,19.61,19.94,27.73
1.77,6.16,9.01,15.57,18.87,19.96,27.46
1.70,6.02,9.14,11.53,19.48,20.15,27.37
1.96,6.21,9.24,26.43,19.60,20.25,27.65
1.71,6.52,8.74,23.49,19.32,20.16,27.91
1.99,6.01,8.99,20.82,18.94,20.39,28.47
1.92,6.09,8.77,20.26,20.29,20.23,27.57
1.95,6.72,8.65,16.91,18.76,21.07,27.79
1.82,6.76,8.36,16.23,19.00,20.58,28.30
1.68,7.08,8.97,13.23,19.52,20.66,27.48
2.13,6.27,9.90,12.76,19.19,20.77,29.47
1.84,6.16,8.50,11.09,18.88,20.08,28.32
1.69,6.48,9.08,10.99,19.99,20.87,28.35
1.70,6.02,9.15,24.33,19.81,19.92,28.14
2.01,6.65,9.07,21.18,19.55,20.13,27.30
1.71,6.46,8.97,18.35,18.89,20.10,27.94
1.66,6.66,9.07,15.88,18.89,20.21,28.19
1.70,6.72,9.08,14.32,20.10,20.50,28.13
1.98,6.19,9.06,13.79,18.76,20.92,27.79
1.65,6.05,9.06,9.90,19.91,20.65,28.06
1.80,6.37,9.10,23.05,19.50,20.68,27.71
1.68,6.80,9.11,22.58,20.01,20.36,28.20
1.72,6.36,9.08,21.58,19.82,20.26,28.31
1.84,6.34,8.63,18.59,19.76,20.35,27.57
1.72,6.24,9.21,16.34,19.31,19.96,28.73
1.89,6.38,9.01,13.23,19.89,20.31,27.85
1.96,6.29,8.93,12.37,19.66,20.47,28.07
1.70,6.04,8.92,11.70,19.55,20.17,27.28
1.76,6.93,9.05,10.75,18.67,20.53,27.85
1.96,6.91,8.89,24.76,19.33,20.19,27.96
1.78,6.34,9.10,24.09,19.41,20.54,28.56
1.73,6.54,8.77,23.03,19.49,20.49,27.65
1.86,6.43,8.37,19.29,19.96,20.83,27.26
1.86,6.58,9.15,16.85,18.99,20.70,28.17
1.81,6.95,8.93,16.29,19.11,20.43,28.25
1.71,6.63,9.14,15.12,18.91,20.02,27.85
1.69,6.04,8.96,15.06,19.16,19.91,28.05
1.71,6.04,13.80,14.22,19.31,20.40,28.23
1.96,6.16,8.22,12.17,19.43,20.42,28.21
1.72,6.29,8.96,24.92,18.89,20.52,28.08
1.73,7.12,8.98,25.00,19.53,20.06,27.86
1.70,6.33,9.01,23.55,20.10,20.03,28.08
1.74,6.25,8.93,23.58,18.91,20.11,27.84
1.83,6.09,8.88,23.12,19.89,20.37,28.34
1.87,7.98,8.93,22.13,19.04,20.70,27.69
1.94,6.29,8.42,21.01,20.13,20.78,28.30
1.70,6.59,9.02,17.54,19.29,20.67,28.61
1.72,6.20,9.04,16.95,19.56,20.19,28.51
1.67,5.98,9.11,13.68,19.36,20.15,28.08
1.70,6.62,8.85,10.08,19.38,19.97,27.45
1.92,6.30,9.33,9.34,18.87,20.54,27.29
1.97,6.09,9.23,24.64,19.78,20.51,27.68
1.93,6.96,8.66,22.89,19.69,20.14,28.23
1.98,7.00,9.22,21.83,19.88,20.20,28.01
1.74,6.09,9.18,20.78,18.99,20.16,28.59
1.75,6.45,8.78,20.06,19.34,20.29,28.09
1.96,6.31,8.90,18.43,19.87,20.05,27.65
1.95,6.07,9.00,16.02,18.40,21.20,28.17
1.81,6.65,8.98,15.36,18.67,20.57,27.13
1.73,6.06,9.36,11.96,18.81,21.06,28.32
1.78,6.03,9.12,10.78,18.30,20.92,27.32
1.83,6.93,9.19,10.04,18.88,20.61,27.73
1.88,6.87,8.99,9.95,18.48,20.19,28.12
1.70,6.28,9.00,9.07,20.43,20.28,29.34
1.86,6.42,8.94,23.91,18.01,20.27,28.01
1.97,6.74,8.98,23.17,18.65,20.14,28.11
1.74,6.55,9.02,21.76,18.20,20.14,28.08
1.81,6.43,8.96,21.28,18.24,20.11,28.03
1.99,5.98,8.99,20.06,18.88,20.37,27.86
1.71,6.55,9.10,19.23,18.38,20.43,27.89
1.96,6.88,9.10,18.74,18.25,20.83,28.45
1.07,6.69,8.95,17.32,18.69,21.09,27.68
4.64,9.86,9.60,16.12,18.67,20.78,32.60
2.54,6.44,8.89,13.46,18.40,20.72,27.82
2.65,6.38,8.96,10.06,18.51,20.19,27.62
2.67,6.27,9.01,25.21,18.63,20.01,27.91
2.84,6.20,8.96,24.85,18.16,20.55,28.10
2.84,6.06,8.92,23.47,18.34,19.87,27.58
2.85,6.72,9.21,22.68,19.11,20.08,27.81
2.67,6.42,9.01,21.99,18.21,20.17,27.87
2.66,6.82,8.97,18.96,18.91,20.51,27.51
3.07,6.66,8.22,17.15,18.24,20.16,26.78
2.98,6.43,8.48,14.37,18.85,20.38,27.86
2.73,6.32,9.07,11.11,18.24,20.33,28.15
2.61,6.22,8.99,11.50,18.09,20.56,27.79
2.72,6.89,8.47,8.54,18.25,21.21,27.88
2.83,6.37,9.03,24.50,18.04,20.94,27.82
2.67,6.20,8.81,24.31,18.19,20.43,27.71
2.69,6.15,8.98,23.19,18.60,20.52,27.57
